fold,net_pnl,max_dd,ssr,return_pct,trades,fees,train_ssr,days_stopped
1,180.57223320007324,-338.14666748046875,465.8102269906839,1.6482350387088223,147,790.0,68.75397548992865,0
2,-724.2598533630371,-1071.3989448547363,107.91342188418056,1.3884553623103757,152,875.0,91.32707796412494,0
3,1493.9592266082764,-255.9879970550537,185.91386174853392,2.9859483934695374,125,710.0,97.83470828845572,0
4,622.3043727874756,-634.6514129638672,47.714117204716594,1.514039142849589,134,695.0,99.9431287788172,0
5,1039.945363998413,-337.2069454193115,76.76435129322468,2.7778345012353824,138,750.0,30.089651085785793,0
6,189.71407890319824,-524.3889999389648,73.11792835690942,0.8598277716886782,145,745.0,28.04437246408329,0
7,2600.4337406158447,-233.55582237243652,134.01072402779067,3.5973511211785256,160,840.0,16.007795103271125,0
